processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
ANICT1126-11	11ANIC-07126	1891869	ANIC Database No. 31 045062	11ANIC-07126	Australian National Insect Collection			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			ANIC Curators		Linnaeus, 1758					E.D.Edwards							A		S						-11.09	132.09							Australia	Northern Territory			Black Point, Cobourg Pen.	1095653	http://www.boldsystems.org/pics/ANICT/11ANIC_07126+1301894562.JPG	Dorsal		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ANICT932-11	11ANIC-06932	1891675	ANIC Database No. 31 045058	11ANIC-06932	Australian National Insect Collection		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			ANIC Curators		Linnaeus, 1758					P.G.Fontana							A		S						-35.12	138.475							Australia	South Australia			O`Sullivan`s Beach, Adelaide	1094875	http://www.boldsystems.org/pics/ANICT/11ANIC_06932+1301865816.JPG	Dorsal		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ASARD2237-12	INB0003720014	2396439	INB0003720014	INB0003720014	Instituto Nacional de Biodiversidad, Costa Rica		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							J. Montero							A	M	S						8.992	-83.527			100				Costa Rica	Puntarenas	Osa	Cortes	Rio Balsar, Sector la Fuente	1506842|1506841	http://www.boldsystems.org/pics/ASARD/INB0003720014-IACH001434+1327952898.jpg|http://www.boldsystems.org/pics/ASARD/INB0003720014-IACH001433+1327952898.jpg	Body|Body	|	National Biodiversity Institute of Costa Rica|National Biodiversity Institute of Costa Rica	2012|2012	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	National Biodiversity Institute of Costa Rica|National Biodiversity Institute of Costa Rica	|
BKKP004-18	1LPF004	9026115	1LPF004	1LPF004	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.731	100.541							Thailand	Bangkok	Bangkok Metropolitan Region		Lumphini Park	3527192	http://www.boldsystems.org/pics/BKKP/1LPF004+1502351864.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP086-18	3LPF010	9026197	3LPF010	3LPF010	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.731	100.541							Thailand	Bangkok	Bangkok Metropolitan Region		Lumphini Park	3528666	http://www.boldsystems.org/pics/BKKP/3LPF010+1502357104.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP095-18	1CHF007	9026206	1CHF007	1CHF007	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.807	100.555							Thailand	Bangkok	Bangkok Metropolitan Region		Chatuchak Park	3527176	http://www.boldsystems.org/pics/BKKP/1CHF007+1502360092.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP159-18	2QSF001	9026270	2QSF001	2QSF001	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.806	100.549							Thailand	Bangkok	Bangkok Metropolitan Region		Queen Sirikit Park	3527406	http://www.boldsystems.org/pics/BKKP/2QSF001+1502366404.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP351-18	1RMH002	9026462	1RMH002	1RMH002	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.688	100.665							Thailand	Bangkok	Bangkok Metropolitan Region		Rama XI Park	3527279	http://www.boldsystems.org/pics/BKKP/1RMH002+1502384144.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP421-18	1WRW001	9026532	1WRW001	1WRW001	Naresuan University		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.848	100.775							Thailand	Bangkok	Bangkok Metropolitan Region		Wareepirom Park	3529178	http://www.boldsystems.org/pics/BKKP/1WRW001+1502956136.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP535-18	3WRH004	9026646	3WRH004	3WRH004	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.848	100.775							Thailand	Bangkok	Bangkok Metropolitan Region		Wareepirom Park	3529051	http://www.boldsystems.org/pics/BKKP/3WRH004+1502969476.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
